aura,C:\ProgramData\Package Cache\{40955d05-8018-4e13-873a-aba0cb5254c7}\AuraServiceSetup.exe
launcher prerequisites (x64),C:\ProgramData\Package Cache\{43a03b9c-4770-409c-a999-587b60700b63}\LauncherPrereqSetup_x64.exe
launcher,C:\ProgramData\Package Cache\{43a03b9c-4770-409c-a999-587b60700b63}\LauncherPrereqSetup_x64.exe
asus ambient hal,C:\ProgramData\Package Cache\{63ce5cc5-0b94-4068-b125-4ba3a23b30fe}\AacAmbientSetup.exe
rog cetra true wireless,C:\Program Files (x86)\InstallShield Installation Information\{6ea72e79-66ab-4bb0-b856-dd885ae31f98}\Setup.exe
rog,C:\Program Files (x86)\InstallShield Installation Information\{6ea72e79-66ab-4bb0-b856-dd885ae31f98}\Setup.exe
microsoft .net runtime - 8.0.13 (x64),C:\ProgramData\Package Cache\{8def024a-2c3c-4c48-a40d-05682ee1ec65}\dotnet-runtime-8.0.13-win-x64.exe
.net,C:\ProgramData\Package Cache\{8def024a-2c3c-4c48-a40d-05682ee1ec65}\dotnet-runtime-8.0.13-win-x64.exe
microsoft visual c++ v14 redistributable (x64) - 14.50.35719,C:\ProgramData\Package Cache\{91ee571b-0e8a-4c65-9eaf-2e2f5fc60c00}\VC_redist.x64.exe
windows software development kit - windows 10.0.26100.4188,C:\ProgramData\Package Cache\{a174f9c3-3990-44e0-9904-1c5218139b20}\winsdksetup.exe
windows,C:\ProgramData\Package Cache\{a174f9c3-3990-44e0-9904-1c5218139b20}\winsdksetup.exe
ai noise cancelation audio software,C:\Program Files (x86)\InstallShield Installation Information\{ab5f014e-883d-470d-bc2d-127ef91e5611}\Setup.exe
noise,C:\Program Files (x86)\InstallShield Installation Information\{ab5f014e-883d-470d-bc2d-127ef91e5611}\Setup.exe
windows software development kit - windows 10.0.22621.5040,C:\ProgramData\Package Cache\{b72d4013-dd88-405a-9f9d-e88c278dcefe}\winsdksetup.exe
aura wallpaper html,C:\Program Files (x86)\InstallShield Installation Information\{fd36a871-5a75-4285-a469-61bbe3dbd858}\Setup.exe
notepad,C:\WINDOWS\System32\notepad.exe
cmd,C:\WINDOWS\System32\cmd.exe
powershell,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
explorer,C:\WINDOWS\explorer.exe
regedit,C:\WINDOWS\regedit.exe
taskmgr,C:\WINDOWS\System32\Taskmgr.exe
taskmanager,C:\WINDOWS\System32\Taskmgr.exe
control,C:\WINDOWS\System32\control.exe
mstsc,C:\WINDOWS\System32\mstsc.exe
